date,price
2023/1/10/13:25,7033494376670.265
2023/1/10/13:26,7057596250904.136
2023/1/10/13:27,7057596250904.136
2023/1/10/13:28,7057596250904.136
2023/1/10/13:29,7113171174125.256
2023/1/10/13:30,7113171174125.256
2023/1/10/13:31,7187482885866.511
2023/1/10/13:32,7212134768741.506
2023/1/10/13:33,7212134768741.506
2023/1/10/13:34,7254537393494.006
2023/1/10/13:35,7353210137823.405
2023/1/10/13:36,7353210137823.405
2023/1/10/13:37,7454362908267.478
2023/1/10/13:38,7482087094995.56
2023/1/10/13:39,7519648480468.287
2023/1/10/13:40,7552249922046.657
2023/1/10/13:41,7552249922046.657
2023/1/10/13:42,7707867271215.345
2023/1/10/13:43,7764631990256.123
2023/1/10/13:44,7821966413198.362
2023/1/10/13:45,7851291061130.308
2023/1/10/13:46,7851291061130.308
2023/1/10/13:47,7951275945943.677
2023/1/10/13:48,8014724635142.543
2023/1/10/13:49,8046020740458.79
2023/1/10/13:50,8046020740458.79
2023/1/10/13:51,8103757029924.456
2023/1/10/13:52,8189006151461.15
2023/1/10/13:53,8250256586837.402
2023/1/10/13:54,8304999212712.74
2023/1/10/13:55,8304999212712.74
2023/1/10/13:56,8427893231981.85
2023/1/10/13:57,8486797351737.91
2023/1/10/13:58,8522089164187.644
2023/1/10/13:59,8570219669872.137
2023/1/10/14:00,8616070382724.492
2023/1/10/14:01,8616070382724.492
2023/1/10/14:02,8754261238467.714
2023/1/10/14:03,8801355339867.712
2023/1/10/14:04,8858419386257.48
2023/1/10/14:05,8900830882364.895
2023/1/10/14:06,8944556193054.948
2023/1/10/14:07,8981962506208.198
2023/1/10/14:08,9048839354534.237
2023/1/10/14:09,9116789358748.125
2023/1/10/14:10,9184790985894.597
2023/1/10/14:12,9234871900343.579
2023/1/10/14:13,9309185676347.898
