date,price
2023/1/10/13:25,7033494376670.265
2023/1/10/13:26,7041147004348.107
2023/1/10/13:27,7044783445632.348
2023/1/10/13:28,7174250234192.349
2023/1/10/13:29,7129700593133.337
2023/1/10/13:30,7131840661662.382
2023/1/10/13:31,7132934425112.382
2023/1/10/13:32,7132383113438.996
2023/1/10/13:33,7163351903811.763
2023/1/10/13:34,7163841420270.791
2023/1/10/13:35,7305396019680.792
2023/1/10/13:36,7302780703846.193
2023/1/10/13:37,7304869869496.264
2023/1/10/13:38,7305087509576.263
2023/1/10/13:39,8098922279350.048
2023/1/10/13:40,8100558662280.048
2023/1/10/13:41,8101243722624.907
2023/1/10/13:42,8170120078393.23
2023/1/10/13:43,8172265870451.297
2023/1/10/13:44,8169702164134.6045
2023/1/10/13:45,8170005321524.6045
2023/1/10/13:46,8170396910302.957
2023/1/10/13:47,8162520391547.762
2023/1/10/13:48,8175143067157.763
2023/1/10/13:49,8175135712611.535
2023/1/10/13:50,8180844727288.403
2023/1/10/13:51,8172218043422.052
2023/1/10/13:52,8175469958552.234
2023/1/10/13:53,8178216229492.663
2023/1/10/13:54,8176134911161.539
2023/1/10/13:55,8177799660863.93
2023/1/10/13:56,8176492566282.4375
2023/1/10/13:57,8179175251762.4375
2023/1/10/13:58,8179794347306.602
2023/1/10/13:59,8181669143186.795
2023/1/10/14:0,8177941646372.105
2023/1/10/14:1,8179342856187.76
2023/1/10/14:2,8182982748927.759
2023/1/10/14:3,8184619826573.882
2023/1/10/14:4,8315592561572.654
2023/1/10/14:5,8313204830205.051
2023/1/10/14:6,8317525754814.694
2023/1/10/14:7,8318959918012.868
2023/1/10/14:8,8319627269362.312
2023/1/10/14:9,8322102999772.312
2023/1/10/14:10,8323806236082.312
2023/1/10/14:12,8324727616082.312
2023/1/10/14:13,8320750440162.417
